year,country,cluster
1983,UA,11.0
1983,US,7.0
1983,VE,7.0
1983,ZA,7.0
1984,AR,7.0
1984,AT,10.0
1984,AU,7.0
1984,BE,10.0
1984,BG,11.0
1984,BR,7.0
1984,CA,7.0
1984,CH,10.0
1984,CL,0.0
1984,CN,11.0
1984,CO,0.0
1984,CU,0.0
1984,CZ,11.0
1984,DE,10.0
1984,DK,8.0
1984,EG,11.0
1984,ES,7.0
1984,FI,8.0
1984,FR,10.0
1984,GB,7.0
1984,GR,11.0
1984,HR,0.0
1984,HU,10.0
1984,IE,7.0
1984,IL,7.0
1984,IN,11.0
1984,IT,10.0
1984,JP,10.0
1984,KE,0.0
1984,KR,8.0
1984,MX,0.0
1984,NG,7.0
1984,NL,10.0
1984,NO,8.0
1984,NZ,7.0
1984,PE,0.0
1984,PL,11.0
1984,PT,7.0
1984,RO,11.0
1984,RU,11.0
1984,SA,10.0
1984,SE,8.0
1984,SG,7.0
1984,SK,11.0
1984,TR,7.0
1984,TW,11.0
1984,UA,11.0
1984,US,7.0
1984,VE,7.0
1984,ZA,7.0
1985,AR,10.0
1985,AT,10.0
1985,AU,7.0
1985,BE,10.0
1985,BG,11.0
1985,BR,7.0
1985,CA,7.0
1985,CH,10.0
1985,CL,0.0
1985,CN,11.0
1985,CO,0.0
1985,CU,0.0
1985,CZ,11.0
1985,DE,10.0
1985,DK,8.0
1985,EG,11.0
1985,ES,10.0
1985,FI,8.0
1985,FR,10.0
1985,GB,7.0
1985,GR,11.0
1985,HR,0.0
1985,HU,10.0
1985,IE,7.0
1985,IL,7.0
1985,IN,11.0
1985,IT,10.0
1985,JP,10.0
1985,KE,0.0
1985,KR,10.0
1985,MX,0.0
1985,NG,7.0
1985,NL,10.0
1985,NO,7.0
1985,NZ,7.0
1985,PE,0.0
1985,PL,11.0
1985,PT,7.0
1985,RO,11.0
1985,RU,11.0
1985,SA,10.0
1985,SE,8.0
1985,SG,7.0
1985,SK,11.0
1985,TR,10.0
1985,TW,11.0
1985,UA,11.0
1985,US,7.0
1985,VE,7.0
1985,ZA,7.0
1986,AR,10.0
1986,AT,10.0
1986,AU,7.0
1986,BE,7.0
1986,BG,11.0
1986,BR,7.0
1986,BY,11.0
1986,CA,7.0
1986,CH,10.0
1986,CL,0.0
1986,CN,11.0
1986,CO,0.0
1986,CU,0.0
1986,CZ,11.0
1986,DE,10.0
1986,DK,8.0
1986,EG,11.0
1986,ES,10.0
1986,FI,8.0
1986,FR,10.0
1986,GB,7.0
1986,GR,11.0
1986,HR,0.0
1986,HU,10.0
1986,IE,7.0
1986,IL,7.0
1986,IN,11.0
1986,IT,10.0
1986,JP,10.0
1986,KE,8.0
1986,KR,10.0
1986,MX,0.0
1986,NG,7.0
1986,NL,7.0
1986,NO,7.0
1986,NZ,7.0
1986,PE,0.0
1986,PL,11.0
1986,PT,10.0
1986,RO,11.0
1986,RS,11.0
1986,RU,11.0
1986,SA,10.0
1986,SE,8.0
1986,SG,10.0
1986,SK,11.0
1986,TR,10.0
1986,TW,11.0
1986,UA,11.0
1986,US,7.0
1986,VE,7.0
1986,ZA,7.0
1987,AR,10.0
1987,AT,10.0
1987,AU,7.0
1987,BE,7.0
1987,BG,11.0
1987,BR,7.0
1987,BY,11.0
1987,CA,7.0
1987,CH,10.0
1987,CL,0.0
1987,CN,11.0
1987,CO,0.0
1987,CU,0.0
1987,CZ,11.0
1987,DE,10.0
1987,DK,7.0
1987,EG,11.0
1987,ES,10.0
1987,FI,7.0
1987,FR,10.0
1987,GB,7.0
1987,GR,11.0
1987,HR,0.0
1987,HU,10.0
1987,IE,7.0
1987,IL,7.0
1987,IN,11.0
1987,IT,10.0
1987,JP,10.0
1987,KE,7.0
1987,KR,10.0
1987,MX,0.0
1987,MY,7.0
1987,NG,7.0
1987,NL,7.0
1987,NO,7.0
1987,NZ,7.0
1987,PE,0.0
1987,PK,7.0
1987,PL,11.0
1987,PT,10.0
1987,RO,11.0
1987,RS,11.0
1987,RU,11.0
1987,SA,10.0
1987,SE,7.0
1987,SG,10.0
1987,SK,11.0
1987,TH,7.0
1987,TR,10.0
1987,TW,11.0
1987,UA,11.0
1987,US,7.0
1987,VE,7.0
1987,ZA,7.0
1988,AR,10.0
1988,AT,10.0
1988,AU,7.0
1988,BE,7.0
1988,BG,11.0
1988,BR,7.0
1988,BY,11.0
1988,CA,7.0
1988,CH,10.0
1988,CL,0.0
1988,CN,11.0
1988,CO,0.0
1988,CU,0.0
1988,CZ,11.0
1988,DE,10.0
1988,DK,7.0
1988,EG,11.0
1988,ES,10.0
1988,FI,7.0
1988,FR,10.0
1988,GB,7.0
1988,GR,11.0
1988,HK,10.0
1988,HR,0.0
1988,HU,10.0
1988,IE,7.0
1988,IL,7.0
1988,IN,11.0
1988,IT,10.0
1988,JP,10.0
1988,KE,7.0
1988,KR,10.0
1988,KW,10.0
1988,MX,0.0
1988,MY,7.0
1988,NG,7.0
1988,NL,7.0
1988,NO,7.0
1988,NZ,7.0
1988,PE,0.0
1988,PK,7.0
1988,PL,11.0
1988,PT,10.0
1988,RO,11.0
1988,RS,11.0
1988,RU,11.0
1988,SA,10.0
1988,SE,7.0
1988,SG,10.0
1988,SK,11.0
1988,TH,7.0
1988,TR,10.0
1988,TW,11.0
1988,UA,11.0
1988,US,7.0
1988,VE,7.0
1988,ZA,7.0
1989,AR,10.0
1989,AT,10.0
1989,AU,7.0
1989,BE,7.0
1989,BG,11.0
1989,BR,7.0
1989,BY,11.0
1989,CA,7.0
1989,CH,10.0
1989,CL,0.0
1989,CN,11.0
1989,CO,0.0
1989,CR,0.0
1989,CU,0.0
1989,CZ,11.0
1989,DE,10.0
1989,DK,7.0
1989,EG,11.0
1989,ES,10.0
1989,FI,7.0
1989,FR,10.0
1989,GB,7.0
1989,GR,11.0
1989,HK,10.0
1989,HR,0.0
1989,HU,10.0
1989,IE,7.0
1989,IL,7.0
1989,IN,11.0
1989,IT,10.0
1989,JP,10.0
1989,KE,7.0
1989,KR,10.0
1989,KW,10.0
1989,MX,0.0
1989,MY,7.0
1989,NG,7.0
1989,NL,7.0
1989,NO,7.0
1989,NZ,7.0
1989,PE,0.0
1989,PK,7.0
1989,PL,11.0
1989,PT,10.0
1989,RO,11.0
1989,RS,11.0
1989,RU,11.0
1989,SA,10.0
1989,SE,7.0
1989,SG,10.0
1989,SI,10.0
1989,SK,11.0
1989,TH,7.0
1989,TR,10.0
1989,TW,11.0
1989,UA,11.0
1989,US,7.0
1989,VE,7.0
1989,ZA,7.0
1990,AR,10.0
1990,AT,10.0
1990,AU,7.0
1990,BE,7.0
1990,BG,11.0
1990,BR,7.0
1990,BY,11.0
1990,CA,7.0
1990,CH,10.0
1990,CL,0.0
1990,CN,11.0
1990,CO,0.0
1990,CR,0.0
1990,CU,0.0
1990,CZ,11.0
1990,DE,10.0
1990,DK,7.0
1990,EG,11.0
1990,ES,10.0
1990,FI,7.0
1990,FR,10.0
1990,GB,7.0
1990,GR,11.0
1990,HK,10.0
1990,HR,0.0
1990,HU,10.0
1990,IE,7.0
1990,IL,7.0
1990,IN,11.0
1990,IT,10.0
1990,JP,10.0
1990,KE,7.0
1990,KR,10.0
1990,KW,10.0
1990,MX,0.0
1990,MY,7.0
1990,NG,7.0
1990,NL,7.0
1990,NO,7.0
1990,NZ,7.0
1990,PE,0.0
1990,PK,7.0
1990,PL,11.0
1990,PT,10.0
1990,RO,11.0
1990,RS,11.0
1990,RU,11.0
1990,SA,10.0
1990,SE,7.0
1990,SG,10.0
1990,SI,10.0
1990,SK,11.0
1990,TH,7.0
1990,TR,10.0
1990,TW,11.0
1990,UA,11.0
1990,US,7.0
1990,VE,7.0
1990,ZA,7.0
1991,AR,10.0
1991,AT,10.0
1991,AU,7.0
1991,BE,7.0
1991,BG,11.0
1991,BR,7.0
1991,BY,11.0
1991,CA,7.0
1991,CH,10.0
1991,CL,0.0
1991,CN,11.0
1991,CO,0.0
1991,CR,0.0
1991,CU,0.0
1991,CZ,11.0
1991,DE,10.0
1991,DK,7.0
1991,EG,11.0
1991,ES,10.0
1991,FI,7.0
1991,FR,10.0
1991,GB,7.0
1991,GR,11.0
1991,HK,10.0
1991,HR,0.0
1991,HU,10.0
1991,IE,7.0
1991,IL,7.0
1991,IN,11.0
1991,IT,10.0
1991,JP,10.0
1991,KE,7.0
1991,KR,10.0
1991,KW,10.0
1991,MX,0.0
1991,MY,7.0
1991,NG,7.0
1991,NL,10.0
1991,NO,7.0
1991,NZ,7.0
1991,PE,0.0
1991,PK,7.0
1991,PL,11.0
1991,PT,10.0
1991,RO,11.0
1991,RS,11.0
1991,RU,11.0
1991,SA,7.0
1991,SE,7.0
1991,SG,10.0
1991,SI,10.0
1991,SK,11.0
1991,TH,7.0
1991,TR,7.0
1991,TW,11.0
1991,UA,11.0
1991,US,7.0
1991,VE,7.0
1991,ZA,7.0
1992,AR,10.0
1992,AT,10.0
1992,AU,13.0
1992,BE,13.0
1992,BG,11.0
1992,BR,13.0
1992,BY,11.0
1992,CA,13.0
1992,CH,10.0
1992,CL,13.0
1992,CN,11.0
1992,CO,0.0
1992,CR,0.0
1992,CU,13.0
1992,CZ,10.0
1992,DE,10.0
1992,DK,12.0
1992,EG,11.0
1992,ES,10.0
1992,FI,12.0
1992,FR,10.0
1992,GB,13.0
1992,GR,11.0
1992,HK,0.0
1992,HR,13.0
1992,HU,10.0
1992,IE,13.0
1992,IL,13.0
1992,IN,11.0
1992,IT,12.0
1992,JP,10.0
1992,KE,13.0
1992,KR,11.0
1992,KW,10.0
1992,LV,0.0
1992,MX,13.0
1992,MY,13.0
1992,NG,13.0
1992,NL,10.0
1992,NO,12.0
1992,NZ,13.0
1992,PE,0.0
1992,PK,12.0
1992,PL,11.0
1992,PT,10.0
1992,RO,11.0
1992,RS,11.0
1992,RU,11.0
1992,SA,12.0
1992,SE,12.0
1992,SG,10.0
1992,SI,0.0
1992,SK,11.0
1992,TH,12.0
1992,TR,12.0
1992,TW,11.0
1992,UA,11.0
1992,US,13.0
1992,VE,10.0
1992,ZA,13.0
1993,AR,10.0
1993,AT,12.0
1993,AU,13.0
1993,BE,13.0
1993,BG,11.0
1993,BR,13.0
1993,BY,11.0
1993,CA,13.0
1993,CH,10.0
1993,CL,13.0
1993,CN,11.0
1993,CO,0.0
1993,CR,0.0
1993,CU,13.0
1993,CZ,10.0
1993,DE,10.0
1993,DK,12.0
1993,EG,11.0
1993,ES,10.0
1993,FI,12.0
1993,FR,10.0
1993,GB,13.0
1993,GR,11.0
1993,HK,10.0
1993,HR,13.0
1993,HU,10.0
1993,IE,13.0
1993,IL,13.0
1993,IN,11.0
1993,IT,12.0
1993,JP,10.0
1993,KE,13.0
1993,KR,11.0
1993,LV,10.0
1993,MX,13.0
1993,MY,13.0
1993,NG,13.0
1993,NL,10.0
1993,NO,12.0
