year,country,from_start,dist_yearly
2022,UG,0.8802395209580839,0.25925925925925924
1970,US,0.0,
1971,US,0.167420814479638,0.167420814479638
1972,US,0.17488789237668162,0.1552511415525114
1973,US,0.16444444444444445,0.15246636771300448
1974,US,0.13839285714285715,0.16521739130434782
1975,US,0.13777777777777778,0.10619469026548672
1976,US,0.1608695652173913,0.13733905579399142
1977,US,0.14537444933920704,0.1206896551724138
1978,US,0.1572052401746725,0.10043668122270742
1979,US,0.15584415584415584,0.13559322033898305
1980,US,0.14847161572052403,0.0782608695652174
1981,US,0.16170212765957448,0.1016949152542373
1982,US,0.13973799126637554,0.1092436974789916
1983,US,0.1623931623931624,0.08547008547008547
1984,US,0.14163090128755365,0.08016877637130802
1985,US,0.1799163179916318,0.07531380753138076
1986,US,0.16101694915254236,0.06302521008403361
1987,US,0.17083333333333334,0.05439330543933055
1988,US,0.16317991631799164,0.04979253112033195
1989,US,0.1625,0.06557377049180328
1990,US,0.1506276150627615,0.061224489795918366
1991,US,0.16597510373443983,0.0411522633744856
1992,US,0.17012448132780084,0.04526748971193416
1993,US,0.16317991631799164,0.02510460251046025
1994,US,0.17768595041322313,0.04149377593360996
1995,US,0.16597510373443983,0.05327868852459016
1996,US,0.16393442622950818,0.0326530612244898
1997,US,0.17142857142857143,0.024291497975708502
1998,US,0.1646090534979424,0.024390243902439025
1999,US,0.17886178861788618,0.024390243902439025
2000,US,0.17479674796747968,0.012195121951219513
2001,US,0.1680327868852459,0.00816326530612245
2002,US,0.1680327868852459,0.00819672131147541
2003,US,0.17408906882591094,0.024193548387096774
2004,US,0.1673469387755102,0.008097165991902834
2005,US,0.17408906882591094,0.008097165991902834
2006,US,0.1673469387755102,0.016129032258064516
2007,US,0.1774193548387097,0.020080321285140562
2008,US,0.18072289156626506,0.0199203187250996
2009,US,0.1774193548387097,0.012
2010,US,0.184,0.008
2011,US,0.1774193548387097,0.008
2012,US,0.1774193548387097,0.0
2013,US,0.1774193548387097,0.008032128514056224
2014,US,0.184,0.008
2015,US,0.18072289156626506,0.004
2016,US,0.1774193548387097,0.012
2017,US,0.18072289156626506,0.012
2018,US,0.18725099601593626,0.015873015873015872
2019,US,0.1774193548387097,0.01195219123505976
2020,US,0.184,0.008
2021,US,0.19047619047619047,0.007936507936507936
2022,US,0.18725099601593626,0.003968253968253968
1970,UY,0.0,
1971,UY,0.8,0.8
1972,UY,1.0,1.0
1973,UY,1.0,0.8
1974,UY,1.0,0.8
1975,UY,0.8333333333333334,1.0
1976,UY,1.0,1.0
1977,UY,1.0,0.8
1978,UY,0.75,1.0
1980,UY,1.0,0.8
1981,UY,1.0,1.0
1982,UY,0.8333333333333334,1.0
1983,UY,0.8571428571428571,1.0
1984,UY,1.0,0.8181818181818182
1985,UY,1.0,0.9090909090909091
1986,UY,0.9166666666666666,0.8333333333333334
1987,UY,1.0,0.7647058823529411
1988,UY,0.9090909090909091,0.8235294117647058
1989,UY,0.9166666666666666,0.8823529411764706
1990,UY,0.9375,0.9565217391304348
1991,UY,1.0,0.896551724137931
1992,UY,0.9090909090909091,0.8529411764705882
1993,UY,1.0,0.8947368421052632
1994,UY,0.967741935483871,0.8095238095238095
1995,UY,0.9375,0.723404255319149
1996,UY,0.9487179487179487,0.8103448275862069
1997,UY,0.9814814814814815,0.6363636363636364
1998,UY,0.98,0.6301369863013698
1999,UY,0.9836065573770492,0.5921052631578947
2000,UY,0.9705882352941176,0.6
2001,UY,0.974025974025974,0.6116504854368932
2002,UY,0.9629629629629629,0.5855855855855856
2003,UY,0.9666666666666667,0.5630252100840336
2004,UY,0.9629629629629629,0.5508474576271186
2005,UY,0.967391304347826,0.5934959349593496
2006,UY,0.9821428571428571,0.5289855072463768
2007,UY,0.970873786407767,0.4714285714285714
2008,UY,0.976,0.4383561643835616
2009,UY,0.9745762711864406,0.45222929936305734
2010,UY,0.9782608695652174,0.4
2011,UY,0.9785714285714285,0.4114285714285714
2012,UY,0.9790209790209791,0.38285714285714284
2013,UY,0.9797297297297297,0.38333333333333336
2014,UY,0.9805194805194806,0.3763440860215054
2015,UY,0.9813664596273292,0.324468085106383
2016,UY,0.9824561403508771,0.32323232323232326
2017,UY,0.9824561403508771,0.2814070351758794
2018,UY,0.9830508474576272,0.24242424242424243
2019,UY,0.9834254143646409,0.21
2020,UY,0.9833333333333333,0.21287128712871287
2021,UY,0.9834254143646409,0.16751269035532995
2022,UY,0.9838709677419355,0.1921182266009852
1970,UZ,0.0,
1971,UZ,1.0,1.0
1972,UZ,1.0,0.8571428571428571
1973,UZ,0.9,0.6666666666666666
1974,UZ,1.0,0.75
1975,UZ,0.8,0.7777777777777778
1976,UZ,1.0,0.8181818181818182
1977,UZ,1.0,0.5555555555555556
1978,UZ,1.0,0.7
1979,UZ,0.9230769230769231,0.8461538461538461
1980,UZ,0.875,1.0
1981,UZ,1.0,1.0
1982,UZ,1.0,0.8181818181818182
1983,UZ,1.0,0.6666666666666666
1984,UZ,1.0,1.0
1985,UZ,1.0,0.8
1986,UZ,0.8333333333333334,0.6666666666666666
1987,UZ,0.9285714285714286,0.8125
1988,UZ,0.8888888888888888,1.0
1989,UZ,0.9285714285714286,0.75
1990,UZ,0.8888888888888888,0.8461538461538461
1991,UZ,0.9333333333333333,0.7692307692307693
1992,UZ,0.9473684210526315,0.7619047619047619
1993,UZ,0.85,0.7777777777777778
1994,UZ,0.9259259259259259,0.8
1995,UZ,0.9166666666666666,0.7837837837837838
1996,UZ,0.88,0.7428571428571429
1997,UZ,0.9047619047619048,0.6938775510204082
1998,UZ,0.9459459459459459,0.6607142857142857
1999,UZ,0.9285714285714286,0.7446808510638298
2000,UZ,0.9534883720930233,0.6458333333333334
2001,UZ,0.9696969696969697,0.6730769230769231
2002,UZ,0.926829268292683,0.6122448979591837
2003,UZ,0.95,0.5925925925925926
2004,UZ,0.9375,0.6612903225806451
2005,UZ,0.9285714285714286,0.5362318840579711
2006,UZ,0.9387755102040817,0.5833333333333334
2007,UZ,0.9454545454545454,0.5507246376811594
2008,UZ,0.9322033898305084,0.6463414634146342
2009,UZ,0.95,0.5679012345679012
2010,UZ,0.9193548387096774,0.5365853658536586
2011,UZ,0.9324324324324325,0.5833333333333334
2012,UZ,0.9452054794520548,0.54
2013,UZ,0.9459459459459459,0.5204081632653061
2014,UZ,0.9615384615384616,0.51
2015,UZ,0.9342105263157895,0.5660377358490566
2016,UZ,0.967391304347826,0.5309734513274337
2017,UZ,0.9560439560439561,0.5483870967741935
2018,UZ,0.9587628865979382,0.4628099173553719
2019,UZ,0.9572649572649573,0.45652173913043476
2020,UZ,0.9629629629629629,0.425
2021,UZ,0.967741935483871,0.313953488372093
2022,UZ,0.9693251533742331,0.2430939226519337
1970,VE,0.0,
1971,VE,0.88,0.88
1972,VE,0.875,0.9444444444444444
1973,VE,0.8888888888888888,0.8947368421052632
1974,VE,0.8823529411764706,0.967741935483871
1975,VE,0.8857142857142857,0.8918918918918919
1976,VE,0.8292682926829268,0.813953488372093
1977,VE,0.925,0.7777777777777778
1978,VE,0.9230769230769231,0.8863636363636364
1979,VE,0.9565217391304348,0.7727272727272727
1980,VE,0.9534883720930233,0.7045454545454546
1981,VE,0.8627450980392157,0.7592592592592593
1982,VE,0.9629629629629629,0.6551724137931034
1983,VE,0.86,0.7166666666666667
1984,VE,0.8852459016393442,0.6515151515151515
1985,VE,0.9019607843137255,0.7945205479452054
1986,VE,0.864406779661017,0.7205882352941176
1987,VE,0.851063829787234,0.6923076923076923
1988,VE,0.8909090909090909,0.7258064516129032
1989,VE,0.8852459016393442,0.6521739130434783
1990,VE,0.9016393442622951,0.625
1991,VE,0.9054054054054054,0.6
1992,VE,0.864406779661017,0.6
1993,VE,0.8461538461538461,0.5277777777777778
1994,VE,0.9078947368421053,0.6136363636363636
1995,VE,0.9041095890410958,0.5888888888888889
1996,VE,0.8695652173913043,0.5769230769230769
1997,VE,0.8829787234042553,0.5338983050847458
1998,VE,0.9052631578947369,0.5338983050847458
1999,VE,0.8829787234042553,0.4956521739130435
2000,VE,0.9035087719298246,0.5076923076923077
2001,VE,0.86,0.45038167938931295
2002,VE,0.8583333333333333,0.4642857142857143
2003,VE,0.8861788617886179,0.3918918918918919
