year,cluster,country,countries_share,medoid,total_articles,total_articles_share,mean_distance,n_stayed
1982,1,9,0.04128440366972477,IN,75940.0,0.24182017927937968,0.4218101702586004,9.0
1983,0,14,0.06422018348623854,AU,232398.0,0.7072195442594216,0.39426982599692045,14.0
1983,1,14,0.06422018348623854,DE,96210.0,0.2927804557405784,0.40903936980829153,9.0
1984,0,15,0.06880733944954129,AU,250412.0,0.714061256904305,0.4000153192879115,14.0
1984,1,14,0.06422018348623854,DE,100275.0,0.285938743095695,0.416444663686663,13.0
1985,0,15,0.06880733944954129,AU,259318.0,0.7088735624642922,0.38658079801561623,15.0
1985,1,14,0.06422018348623854,DE,106499.0,0.29112643753570777,0.4206576723450653,14.0
1986,0,20,0.09174311926605505,IL,288588.0,0.750491506558622,0.3760064839424642,15.0
1986,1,11,0.05045871559633028,GR,95944.0,0.2495084934413781,0.42405496022759254,9.0
1987,0,22,0.10091743119266056,BE,328941.0,0.7750748705816932,0.3741869166269508,20.0
1987,1,11,0.05045871559633028,IN,95458.0,0.22492512941830684,0.43065651768731555,10.0
1988,0,21,0.0963302752293578,BE,342434.0,0.7733710344391471,0.37481989553158457,21.0
1988,1,12,0.05504587155963303,IN,100347.0,0.22662896556085288,0.4087291234451754,11.0
1989,0,20,0.09174311926605505,BE,341252.0,0.7295840593498455,0.37441211457634016,19.0
1989,1,13,0.05963302752293578,IN,126483.0,0.27041594065015445,0.42910929900790207,11.0
1990,0,25,0.11467889908256881,BE,386358.0,0.7695148183556405,0.3696336535650099,20.0
1990,1,11,0.05045871559633028,IN,115722.0,0.23048518164435947,0.4379482583822201,11.0
1991,0,23,0.10550458715596331,BE,395048.0,0.7586164517194497,0.35931091791420405,22.0
1991,1,13,0.05963302752293578,IN,125700.0,0.24138354828055028,0.40685658439867783,11.0
1992,0,29,0.13302752293577982,NL,500503.0,0.929175183281259,0.35329666306268454,23.0
1992,1,8,0.03669724770642202,CN,38150.0,0.07082481671874101,0.43866565750410164,7.0
1993,0,23,0.10550458715596331,BE,426140.0,0.7541887082301679,0.3805787935634015,23.0
1993,1,14,0.06422018348623854,IN,138891.0,0.2458112917698321,0.4333643467511907,8.0
1994,0,23,0.10550458715596331,BE,437984.0,0.7528952285670574,0.36228393450350443,23.0
1994,1,14,0.06422018348623854,IN,143749.0,0.2471047714329426,0.42587320747322965,14.0
1995,0,26,0.11926605504587157,NL,455661.0,0.7549055666003976,0.35982694277932803,23.0
1995,1,13,0.05963302752293578,IN,147939.0,0.24509443339960238,0.42111674748184585,13.0
1996,0,28,0.12844036697247707,NL,496160.0,0.7602679693294024,0.3711681093048727,26.0
1996,1,13,0.05963302752293578,IN,156452.0,0.23973203067059753,0.42731521792670446,12.0
1997,0,28,0.12844036697247707,NL,494019.0,0.7394464543110016,0.3554822523053603,27.0
1997,1,15,0.06880733944954129,IN,174074.0,0.2605535456889984,0.4104561359681263,13.0
1998,0,27,0.12385321100917432,BE,506323.0,0.729575199892795,0.3671209481337587,26.0
1998,1,16,0.07339449541284404,IN,187674.0,0.2704248001072051,0.41077473430999967,15.0
1999,0,30,0.13761467889908258,NL,580676.0,0.8041968985827989,0.3496563099630639,27.0
1999,1,13,0.05963302752293578,TW,141381.0,0.19580310141720114,0.41519558955748503,12.0
2000,0,26,0.11926605504587157,CA,537443.0,0.6751151900069843,0.3405857917023055,26.0
2000,1,20,0.09174311926605505,CZ,258633.0,0.3248848099930157,0.3907602537820946,14.0
2001,0,28,0.12844036697247707,CA,579479.0,0.6920350389022577,0.3360580550294564,25.0
2001,1,17,0.0779816513761468,CN,257876.0,0.3079649610977423,0.3949661973167059,17.0
2002,0,35,0.16055045871559634,BE,789585.0,0.7257341810197053,0.34136819777215466,28.0
2002,1,19,0.0871559633027523,IR,298396.0,0.2742658189802947,0.405163255028081,15.0
2003,0,37,0.16972477064220184,CA,833625.0,0.7441864409654494,0.3459030501731143,35.0
2003,1,16,0.07339449541284404,TW,286558.0,0.2558135590345506,0.40469997172571337,16.0
2004,0,38,0.1743119266055046,CA,849951.0,0.7049293993240582,0.3408764152157983,36.0
2004,1,16,0.07339449541284404,TW,355774.0,0.2950706006759419,0.40953451612791136,15.0
2005,0,40,0.1834862385321101,CA,926020.0,0.6788206661975135,0.3148518827942181,38.0
2005,1,17,0.0779816513761468,TW,438140.0,0.32117933380248653,0.3910265664472076,16.0
2006,0,43,0.19724770642201836,CA,1010912.0,0.6479424274510508,0.3228082686053613,40.0
2006,1,18,0.08256880733944955,SG,549276.0,0.3520575725489492,0.39483307627441183,17.0
2007,0,39,0.17889908256880735,BE,1001693.0,0.5909442194785827,0.32841309069340974,38.0
2007,1,23,0.10550458715596331,CZ,693379.0,0.4090557805214174,0.38975367613534884,18.0
2008,0,41,0.18807339449541285,CA,1120038.0,0.611223650060138,0.3249203651168466,37.0
2008,1,20,0.09174311926605505,CN,712414.0,0.388776349939862,0.3932181685778211,19.0
2009,0,37,0.16972477064220184,BE,1041528.0,0.5236674743113191,0.3083406290726289,35.0
2009,1,28,0.12844036697247707,PK,947383.0,0.4763325256886809,0.3605952640281112,19.0
2010,0,37,0.16972477064220184,BE,1098246.0,0.5218418888155559,0.30992227882324164,36.0
2010,1,28,0.12844036697247707,CZ,1006311.0,0.47815811118444407,0.35930247787800274,27.0
2011,0,37,0.16972477064220184,BE,1174093.0,0.5098204306295306,0.3005844143284361,34.0
2011,1,33,0.15137614678899083,BD,1128861.0,0.4901795693704694,0.3452765870236057,28.0
2012,0,48,0.22018348623853212,BE,1393472.0,0.5889083528618732,0.3094854194989377,37.0
2012,1,25,0.11467889908256881,IR,972723.0,0.41109164713812685,0.35632230680943233,25.0
2013,0,47,0.21559633027522937,BE,1355528.0,0.5323798478261638,0.28961984448471106,42.0
2013,1,33,0.15137614678899083,TH,1190639.0,0.4676201521738362,0.34501684719213627,26.0
2014,0,64,0.29357798165137616,AT,2460429.0,0.9149562570980416,0.31430333772610636,29.0
2014,1,18,0.08256880733944955,VE,228693.0,0.08504374290195833,0.304433931516199,
2015,0,54,0.24770642201834864,AT,2038896.0,0.7560589778332522,0.31077057493345234,53.0
2015,1,29,0.13302752293577982,ZA,657846.0,0.24394102216674787,0.28284136933307574,18.0
2016,0,54,0.24770642201834864,AT,2028247.0,0.7433380757511455,0.3090957127521496,54.0
2016,1,30,0.13761467889908258,ZA,700319.0,0.25666192424885453,0.2811840657054687,29.0
2017,0,53,0.24311926605504589,AT,2130055.0,0.7341141624887,0.29588126431942513,52.0
2017,1,33,0.15137614678899083,ZA,771476.0,0.26588583751130007,0.2610758667918234,30.0
2018,0,45,0.20642201834862386,BG,2127732.0,0.6697233989847754,0.30093605154797176,43.0
2018,1,43,0.19724770642201836,ZA,1049299.0,0.3302766010152246,0.2528775983838916,33.0
2019,0,45,0.20642201834862386,PK,2225576.0,0.6625358941979258,0.306679942643721,42.0
2019,1,45,0.20642201834862386,ZA,1133602.0,0.3374641058020742,0.25860557917682225,41.0
2020,0,59,0.2706422018348624,AT,2826079.0,0.757489718155229,0.2789992333592298,44.0
2020,1,36,0.1651376146788991,HR,904769.0,0.24251028184477094,0.24946218096600806,32.0
2021,0,59,0.2706422018348624,SE,3129409.0,0.792070359255293,0.2740046151935807,55.0
2021,1,41,0.18807339449541285,PH,821514.0,0.207929640744707,0.24038634535629552,33.0
2022,0,76,0.3486238532110092,SI,3395747.0,0.8497748404363804,0.2676297960448764,56.0
2022,1,23,0.10550458715596331,CL,600308.0,0.15022515956361962,0.25402135887230676,21.0
2023,0,58,0.26605504587155965,BE,3136259.0,0.7982455827780521,0.27317533947690975,58.0
2023,1,40,0.1834862385321101,ZA,792681.0,0.2017544172219479,0.2563536773930751,21.0
