year,country,from_start,dist_yearly
2020,NZ,0.38362068965517243,0.06751054852320675
2021,NZ,0.3898305084745763,0.0379746835443038
2022,NZ,0.38095238095238093,0.04219409282700422
1970,OM,0.0,
1971,OM,0.95,0.95
1972,OM,0.9444444444444444,0.8888888888888888
1973,OM,0.9375,1.0
1974,OM,0.9411764705882353,1.0
1975,OM,1.0,1.0
1976,OM,0.9473684210526315,1.0
1977,OM,1.0,0.8888888888888888
1978,OM,1.0,0.9
1979,OM,0.9333333333333333,1.0
1980,OM,1.0,1.0
1981,OM,0.9375,1.0
1982,OM,1.0,1.0
1983,OM,0.8823529411764706,0.8333333333333334
1984,OM,1.0,1.0
1985,OM,1.0,0.75
1986,OM,0.9523809523809523,1.0
1987,OM,0.8095238095238095,0.9375
1988,OM,0.9130434782608695,0.9473684210526315
1989,OM,0.9230769230769231,0.7894736842105263
1990,OM,0.9166666666666666,0.9428571428571428
1991,OM,0.9142857142857143,0.7948717948717948
1992,OM,0.75,0.8837209302325582
1993,OM,0.8260869565217391,0.7924528301886793
1994,OM,0.9,0.746031746031746
1995,OM,0.8867924528301887,0.7647058823529411
1996,OM,0.8333333333333334,0.7567567567567568
1997,OM,0.8852459016393442,0.7215189873417721
1998,OM,0.9104477611940298,0.6941176470588235
1999,OM,0.8805970149253731,0.6436781609195402
2000,OM,0.8450704225352113,0.5888888888888889
2001,OM,0.8837209302325582,0.5490196078431373
2002,OM,0.8850574712643678,0.6068376068376068
2003,OM,0.8842105263157894,0.6048387096774194
2004,OM,0.8913043478260869,0.5645161290322581
2005,OM,0.8837209302325582,0.5132743362831859
2006,OM,0.8773584905660378,0.5080645161290323
2007,OM,0.8859649122807017,0.46808510638297873
2008,OM,0.9026548672566371,0.4652777777777778
2009,OM,0.8813559322033898,0.3971631205673759
2010,OM,0.8968253968253969,0.4144736842105263
2011,OM,0.8992805755395683,0.44047619047619047
2012,OM,0.8913043478260869,0.2857142857142857
2013,OM,0.9047619047619048,0.3488372093023256
2014,OM,0.9025974025974026,0.3146067415730337
2015,OM,0.9044585987261147,0.30978260869565216
2016,OM,0.9197530864197531,0.27717391304347827
2017,OM,0.9050632911392406,0.31746031746031744
2018,OM,0.90625,0.2903225806451613
2019,OM,0.9107142857142857,0.2553191489361702
2020,OM,0.9132947976878613,0.23316062176165803
2021,OM,0.9195402298850575,0.2436548223350254
2022,OM,0.9090909090909091,0.26666666666666666
1970,PA,0.0,
1971,PA,0.7575757575757576,0.7575757575757576
1972,PA,0.7058823529411765,0.75
1973,PA,0.5757575757575758,0.5862068965517241
1974,PA,0.6111111111111112,0.6176470588235294
1975,PA,0.7727272727272727,0.851063829787234
1976,PA,0.75,0.8
1977,PA,0.7297297297297297,0.6944444444444444
1978,PA,0.6060606060606061,0.65625
1979,PA,0.7391304347826086,0.6829268292682927
1980,PA,0.7105263157894737,0.7045454545454546
1981,PA,0.6666666666666666,0.6216216216216216
1982,PA,0.7,0.6153846153846154
1983,PA,0.625,0.7045454545454546
1984,PA,0.7073170731707317,0.6818181818181818
1985,PA,0.7659574468085106,0.6136363636363636
1986,PA,0.782608695652174,0.6666666666666666
1987,PA,0.6521739130434783,0.7407407407407407
1988,PA,0.6410256410256411,0.673469387755102
1989,PA,0.782608695652174,0.6888888888888889
1990,PA,0.7083333333333334,0.6666666666666666
1991,PA,0.7254901960784313,0.6
1992,PA,0.7254901960784313,0.7692307692307693
1993,PA,0.6888888888888889,0.7241379310344828
1994,PA,0.7551020408163265,0.6274509803921569
1995,PA,0.717391304347826,0.7272727272727273
1996,PA,0.65,0.5681818181818182
1997,PA,0.6666666666666666,0.6666666666666666
1998,PA,0.7,0.631578947368421
1999,PA,0.7368421052631579,0.6111111111111112
2000,PA,0.6923076923076923,0.59375
2001,PA,0.7288135593220338,0.6323529411764706
2002,PA,0.6833333333333333,0.631578947368421
2003,PA,0.75,0.5925925925925926
2004,PA,0.711864406779661,0.5769230769230769
2005,PA,0.7910447761194029,0.6951219512195121
2006,PA,0.7948717948717948,0.6111111111111112
2007,PA,0.7397260273972602,0.5531914893617021
2008,PA,0.7534246575342466,0.6145833333333334
2009,PA,0.7790697674418605,0.54
2010,PA,0.7894736842105263,0.5865384615384616
2011,PA,0.7865168539325843,0.5849056603773585
2012,PA,0.8131868131868132,0.543859649122807
2013,PA,0.8137254901960784,0.4957983193277311
2014,PA,0.8064516129032258,0.4896551724137931
2015,PA,0.8472222222222222,0.35
2016,PA,0.8736263736263736,0.27419354838709675
2017,PA,0.8814432989690721,0.1941747572815534
2018,PA,0.8736842105263158,0.15048543689320387
2019,PA,0.8737373737373737,0.17452830188679244
2020,PA,0.8792270531400966,0.14220183486238533
2021,PA,0.8805970149253731,0.12442396313364056
2022,PA,0.8756218905472637,0.14351851851851852
1970,PE,0.0,
1971,PE,0.7090909090909091,0.7090909090909091
1972,PE,0.7719298245614035,0.74
1973,PE,0.7454545454545455,0.7551020408163265
1974,PE,0.746031746031746,0.6538461538461539
1975,PE,0.7636363636363637,0.8688524590163934
1976,PE,0.8166666666666667,0.7551020408163265
