index,country,from_start,diag
1981,AU,0.1293736140842074,0.03806564172884022
1982,AU,0.09722573111260181,0.04418350210665233
1983,AU,0.1020597295541863,0.03064194843691947
1984,AU,0.1065035886901693,0.02548755141609761
1985,AU,0.1572196800456067,0.0602939733811261
1986,AU,0.13500168855418054,0.03744482565985181
1987,AU,0.110383734528439,0.031239388957509776
1988,AU,0.06290526330078075,0.06790141820557731
1989,AU,0.08301448391902269,0.04587090343659377
1990,AU,0.058265223801897165,0.03130687267727935
1991,AU,0.06448189463480752,0.03362862967060424
1992,AU,0.06331886041278878,0.03403101072282297
1993,AU,0.0554491049891505,0.024583520487013358
1994,AU,0.049204561281283976,0.02338809445672748
1995,AU,0.03981905061841293,0.02532846766738277
1996,AU,0.03506485676588831,0.021037009724766922
1997,AU,0.04493839088186812,0.019570005507840955
1998,AU,0.052880406538943096,0.016655808822223596
1999,AU,0.04806926709751103,0.015251182830485842
2000,AU,0.07057671427958236,0.03222516489021951
2001,AU,0.055523032755371,0.024865083672190206
2002,AU,0.04381737296390073,0.047567791774769566
2003,AU,0.07914870230030159,0.051242566578465015
2004,AU,0.0796250557346326,0.025807350505061624
2005,AU,0.0860892619048428,0.013483836525339712
2006,AU,0.0783200822572915,0.012004510414934125
2007,AU,0.10017083088921427,0.0235785016550793
2008,AU,0.11084533816574103,0.026227089157441614
2009,AU,0.13142876138986465,0.022604690399197568
2010,AU,0.12945002971732,0.004476022165382637
2011,AU,0.14181631035431197,0.014031039803717879
2012,AU,0.13995305892010645,0.007960742768755745
2013,AU,0.15108906396074417,0.012439948009661929
2014,AU,0.14896729017695043,0.01754327538291622
2015,AU,0.15327067138214986,0.009925575070832247
2016,AU,0.15072178774958347,0.006215764598337478
2017,AU,0.15779031433947738,0.007792626819045666
2018,AU,0.14630044839237613,0.017962331444498485
2019,AU,0.14813221654230027,0.013069114086068373
2020,AU,0.163153180679791,0.016820438589565813
2021,AU,0.16569358798451686,0.006045815193545461
2022,AU,0.16447107982730572,0.004228811553128738
1970,AZ,0.0,0.0
1971,AZ,0.5575575575575574,0.5575575575575574
1972,AZ,0.34234234234234234,0.2781531531531531
1973,AZ,0.5885885885885885,0.30067567567567566
1974,AZ,0.41941941941941946,0.24324324324324323
1975,AZ,0.15815815815815817,0.3297297297297297
1976,AZ,0.1741741741741742,0.08408408408408408
1977,AZ,0.48948948948948945,0.5495495495495495
1978,AZ,0.4175994175994176,0.3357903357903358
1979,AZ,0.3221793221793221,0.14121914121914125
1980,AZ,0.4233464233464232,0.249084249084249
1981,AZ,0.41009759759759756,0.13717082467082461
1982,AZ,0.56962225383278,0.20489568515884296
1983,AZ,0.5695695695695694,0.028344133607291475
1984,AZ,0.4643064116748327,0.12991939307728773
1985,AZ,0.4042866395807572,0.27579282068446154
1986,AZ,0.39525239525239525,0.1853660383072147
1987,AZ,0.40834952599658475,0.13729275493981374
1988,AZ,0.45913913913913923,0.21223105458399583
1989,AZ,0.32382382382382374,0.23149149149149156
1990,AZ,0.3759473759473759,0.17767767767767767
1991,AZ,0.46871871871871873,0.14859502359502355
1992,AZ,0.5327432695853747,0.10500632211158524
1993,AZ,0.36505255255255253,0.2350491939307728
1994,AZ,0.3397535466500983,0.17357875116495802
